"Category","Condition","Value","Dataset","OR","CI_low","CI_high","K....k","I2....I2","tau2....tau2","p_value"
"1st-generation EGFR TKIs","location","Non-Asian","arrhy_serious1",0.898116515687901,0.348882964155014,2.31198814108042,5,0,0,0.823742739465658
"3rd-generation EGFR TKIs","location","Asian","arrhy_serious1",1.1292846621042,0.442223865741945,2.88379697898978,3,0,0,0.799355413768748
"1st-generation EGFR TKIs","location","Asian","arrhy_serious1",0.714007803648987,0.284197169402782,1.79385018064385,3,0,0,0.47356339734173
"2nd-generation EGFR TKIs","location","Asian","arrhy_serious1",3.47619047619048,0.136699683213095,88.3974267001066,1,NA,NA,0.450456176916791
"1st-generation EGFR TKIs","location","Mixed","arrhy_serious1",0.883220242073029,0.607927800831055,1.28317539507348,21,0,0,0.514650548071467
"3rd-generation EGFR TKIs","location","Mixed","arrhy_serious1",0.960023687817149,0.50149689104642,1.83778902247418,11,0,0,0.901997432349944
"2nd-generation EGFR TKIs","location","Mixed","arrhy_serious1",1.30357419980657,0.683663064547824,2.48558944094086,7,0.0454525449980471,0.0499251063564428,0.420767066573203
"1st-generation EGFR TKIs","location","Non-Asian","hf_serious",0.712776333638132,0.227624671687386,2.23196412773903,3,0,0,0.560989138252752
"3rd-generation EGFR TKIs","location","Asian","hf_serious",0.333333333333333,0.0135034420624435,8.22835471113988,1,NA,NA,0.501846780890261
"1st-generation EGFR TKIs","location","Asian","hf_serious",0.993307239725643,0.371622681495924,2.65500283384129,6,0.0283251212054029,0.0741145411994915,0.989318968392864
"2nd-generation EGFR TKIs","location","Asian","hf_serious",0.156576200417537,0.00632876141745649,3.87376058600824,1,NA,NA,0.257341346248572
"1st-generation EGFR TKIs","location","Mixed","hf_serious",0.981609211939086,0.571031338463563,1.68739713577936,16,0,0,0.946458769161041
"3rd-generation EGFR TKIs","location","Mixed","hf_serious",1.20617122195313,0.673368909338939,2.16055270222703,11,0,0,0.528512614163372
"2nd-generation EGFR TKIs","location","Mixed","hf_serious",1.05740412722179,0.354389467605659,3.15501331295158,3,0,0,0.920285012244236
"1st-generation EGFR TKIs","location","Non-Asian","vt_serious",0.836878504342697,0.508749786623458,1.3766406383758,8,0,0,0.483152880814357
"1st-generation EGFR TKIs","location","Asian","vt_serious",0.343720966288876,0.205754254695916,0.574200046755601,15,0.015209210165577,0.021428025550816,4.52429563266052e-05
"3rd-generation EGFR TKIs","location","Asian","vt_serious",19.6297736802618,3.766396046642,102.306823277878,2,0,0,0.000408830621863113
"2nd-generation EGFR TKIs","location","Asian","vt_serious",0.156576200417537,0.00632876141745649,3.87376058600824,1,NA,NA,0.257341346248572
"1st-generation EGFR TKIs","location","Mixed","vt_serious",0.681084598254537,0.558039898158786,0.831259971751252,30,0.0519707647777571,0.0192597013659788,0.00015818361761023
"3rd-generation EGFR TKIs","location","Mixed","vt_serious",0.646722318036377,0.5057790700197,0.826941606401495,11,0.702429499030987,0.487820139395293,0.000510752706291731
"2nd-generation EGFR TKIs","location","Mixed","vt_serious",1.13240167065481,0.791496043910034,1.62013891739371,9,0.119172850458358,0.047340101045067,0.496244607202065
"1st-generation EGFR TKIs","location","Non-Asian","hyper_serious",0.281099319167562,0.0588798865247758,1.34200033152608,3,0,0,0.111577602240779
"1st-generation EGFR TKIs","location","Asian","hyper_serious",0.197656898917633,0.146264474147987,0.267106896034146,8,0.885346058679615,2.3760714645565,4.94479291492459e-26
"3rd-generation EGFR TKIs","location","Asian","hyper_serious",0.266964204288435,0.0867959265147925,0.821120175025853,3,0.365713887091786,0.948424396877569,0.0212357506278728
"3rd-generation EGFR TKIs","location","Mixed","hyper_serious",0.616363924298266,0.197490024539921,1.92366418537542,6,0,0,0.404655100737809
"1st-generation EGFR TKIs","location","Mixed","hyper_serious",0.366995327471359,0.197692134811394,0.681289473222115,14,0,0,0.00149416541132246
"2nd-generation EGFR TKIs","location","Mixed","hyper_serious",0.834685531303959,0.201549174122974,3.45672434134155,4,0,0,0.803180303078809
"1st-generation EGFR TKIs","location","Non-Asian","arrhy_total1",0.876895620359705,0.537691802917599,1.43008676128892,6,0.469535582793077,0.857913100581008,0.598593721662292
"3rd-generation EGFR TKIs","location","Asian","arrhy_total1",1.03459833197411,0.768294555070764,1.39320746380277,6,0.255913370110568,0.0583381872958297,0.822748364895477
"1st-generation EGFR TKIs","location","Asian","arrhy_total1",0.910702084011184,0.664616837816074,1.24790441444073,6,0,0,0.560564589348817
"2nd-generation EGFR TKIs","location","Asian","arrhy_total1",0.714285714285714,0.182239420516651,2.79963621584297,1,NA,NA,0.629244433104853
"1st-generation EGFR TKIs","location","Mixed","arrhy_total1",0.853049248318315,0.649115291880341,1.12105357732134,22,0.412492284830378,0.372135702104312,0.254199627154811
"3rd-generation EGFR TKIs","location","Mixed","arrhy_total1",1.49111373522766,1.11107943432577,2.00113520482342,12,0.565755890897227,0.481321193050104,0.00777453301119038
