"Comparison","Number of studies","Within-study bias","Reporting bias","Indirectness","Imprecision","Heterogeneity","Incoherence","Confidence rating","Reason(s) for downgrading"
"3rd-generation EGFR TKIs + chemotherapy:Almonertinib",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + chemotherapy:Antiangiogenesis",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + chemotherapy:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"3rd-generation EGFR TKIs + chemotherapy:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Almonertinib:Antiangiogenesis",0,"No concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Almonertinib:Chemotherapy",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Almonertinib:Placebo",0,"No concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
"Antiangiogenesis:Chemotherapy",0,"Some concerns","Low risk","No concerns","No concerns","Some concerns","No concerns","High","[]"
"Antiangiogenesis:Placebo",0,"Some concerns","Low risk","No concerns","No concerns","No concerns","No concerns","High","[]"
"Chemotherapy:Placebo",0,"Some concerns","Low risk","No concerns","Major concerns","No concerns","No concerns","High","[]"
